campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Alagoinhas,PROGRAMA DE ASSISTÊNCIA E INCLUSÃO SOCIAL DO ESTUDANTE – PAISE 2026,https://www.ifbaiano.edu.br/unidades/alagoinhas/programa-de-assistencia-e-inclusao-social-do-estudante-paise-2026/,2026-07-13,15:32,1,,https://www.ifbaiano.edu.br/unidades/alagoinhas/files/2025/07/1432-programas-estudantis-fundo-transparente.webp
Alagoinhas,Convocação para inscrição de chapa gremista &#8211; Gestão 2026-2027,https://www.ifbaiano.edu.br/unidades/alagoinhas/novo-post/,2026-06-11,07:41,1,,https://www.ifbaiano.edu.br/unidades/alagoinhas/files/2026/06/4368-Captura-de-tela-de-2026-06-11-07-36-27.webp
Alagoinhas,Reabertura de Processo Seletivo &#8211; Professor substituto AEE,https://www.ifbaiano.edu.br/unidades/alagoinhas/reabertura-de-processo-seletivo-professor-substituto-aee/,2026-06-10,15:09,1,,https://www.ifbaiano.edu.br/unidades/alagoinhas/files/2026/05/5463-processo-seletivo.webp
Alagoinhas,O Campus Alagoinhas está com processos seletivos abertos para contratação de professores temporários,https://www.ifbaiano.edu.br/unidades/alagoinhas/o-campus-alagoinhas-esta-com-processo-seletivo-aberto-para-contratacao-de-professores-temporarios/,2026-05-30,15:38,1,,https://www.ifbaiano.edu.br/unidades/alagoinhas/files/2026/05/7422-Design-sem-nome-12.webp
Alagoinhas,EDITAL DE RENOVAÇÃO DE MATRÍCULA DOS CURSOS INTEGRADOS 2026 E DO CURSO SUBSEQUENTE – TÉCNICO EM AGROINDÚSTRIA 2026.1,https://www.ifbaiano.edu.br/unidades/alagoinhas/edital-de-renovacao-de-matricula-dos-cursos-integrados-2026-e-do-curso-subsequente-tecnico-em-agroindustria-2026-1/,2026-04-16,11:06,1,Última atualização: 16/04/2026 &#8211; 11:03 horas | Data de publicação: 16/04/2026 &#8211; 11:03 horas,
Alagoinhas,Semana de Acolhimento dos Cursos Integrados ao Ensino Médio 2026,https://www.ifbaiano.edu.br/unidades/alagoinhas/semana-de-acolhimento-dos-cursos-integrados-ao-ensino-medio-2026/,2026-04-11,01:16,1,"Entre os dias 13 e 15 de abril de 2026, o Instituto Federal Baiano (IF Baiano) – Campus Alagoinhas realiza a Semana de Acolhimento, um evento pensado para recepcionar os novos estudantes e marcar o in...",https://www.ifbaiano.edu.br/unidades/alagoinhas/files/2026/04/0761-capa-site-acolhimento.webp
Alagoinhas,Nota de Pesar Andrei dos Santos Pimentel Silva,https://www.ifbaiano.edu.br/unidades/alagoinhas/nota-de-pesar-andrei-dos-santos-pimentel-silva/,2026-04-10,21:16,1,,https://www.ifbaiano.edu.br/unidades/alagoinhas/files/2026/04/7710-Luto-Oficial-Andrei-dos-Santos-Pimentel-2026.webp
Alagoinhas,Resultado Preliminar &#8211; SELEÇÃO DE ESTUDANTES DE NÍVEL SUPERIOR PARA A REALIZAÇÃO DE ESTÁGIO,https://www.ifbaiano.edu.br/unidades/alagoinhas/selecao-de-estudantes-de-nivel-superior-para-a-realizacao-de-estagio-remunerado-no-instituto-federal-baiano-campus-alagoinhas/,2026-02-23,18:29,1,,
Alagoinhas,HORÁRIO DE MATRICULA PRESENCIAL &#8211; JANEIRO 2026 (08:30H ÀS 13:30 HORAS).,https://www.ifbaiano.edu.br/unidades/alagoinhas/horario-de-matricula-presencial-janeiro-2026-0830h-as-1330-horas/,2026-01-06,13:19,1,,
Alagoinhas,CHAMADA PÚBLICA N. 132/2025 – Aquisição de produtos da agricultura familiar através do PNAE (Programa Nacional de Alimentação),https://www.ifbaiano.edu.br/unidades/alagoinhas/chamada-publica-n-132-2025-aquisicao-de-produtos-da-agricultura-familiar-atraves-do-pnae-programa-nacional-de-alimentacao/,2025-11-27,15:22,1,,
Alagoinhas,SNCT do IF Baiano – Campus Alagoinhas ganha nova data e promete programação ampliada em fevereiro de 2026,https://www.ifbaiano.edu.br/unidades/alagoinhas/snct-do-if-baiano-campus-alagoinhas-ganha-nova-data-e-promete-programacao-ampliada-em-fevereiro-de-2026/,2025-11-19,16:05,1,"A Comissão Organizadora da Semana Nacional de Ciência e Tecnologia (SNCT) do IF Baiano– Campus Alagoinhas anunciou a nova data do evento, que agora será realizado entre 24 e 27de fevereiro de 2026. An...",https://www.ifbaiano.edu.br/unidades/alagoinhas/files/2025/11/7439-Nova-data-snct-22a.webp
Alagoinhas,TBT! Aluna do IF Baiano – Campus Alagoinhas conquista medalha na Olimpíada Nacional de Nanociência e Nanotecnologia,https://www.ifbaiano.edu.br/unidades/alagoinhas/aluna-do-if-baiano-campus-alagoinhas-conquista-medalha-na-olimpiada-nacional-de-nanociencia-e-nanotecnologia/,2025-11-13,15:48,2,,https://www.ifbaiano.edu.br/unidades/alagoinhas/files/2025/11/7756-Imagem-do-WhatsApp-de-2025-11-11-as-08.56.07_7afaf709.webp
