campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Reitoria,CEPEX 2026 anuncia abertura de inscrições e submissões de trabalhos,https://ifbaiano.edu.br/portal/blog/cepex-2026-anuncia-abertura-de-inscricoes-e-submissoes-de-trabalhos/,2026-07-23,13:46,1,Evento acontecerá entre os dias 20 e 22 de outubro no campus Guanambi do IF Baiano,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/Cepex-2026.webp
Reitoria,Campus Itapetinga abre seleção para 74 vagas em três cursos de graduação,https://ifbaiano.edu.br/portal/blog/campus-itapetinga-abre-selecao-para-74-vagas-em-tres-cursos-de-graduacao/,2026-07-22,11:00,1,"A oportunidade é para os cursos de Bacharelado em Sistemas de Informação, Educação Física e Licenciatura em Letras Libras",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/Novas-vagas-de-graduacao.webp
Reitoria,Aberta chamada pública para afastamento de servidores TAE em cursos de pós-graduação stricto sensu,https://ifbaiano.edu.br/portal/blog/aberta-chamada-publica-para-afastamento-de-servidores-tae-em-cursos-de-pos-graduacao-stricto-sensu/,2026-07-22,10:27,1,Inscrições vão até 30 de julho; edital contempla Reitoria e os 14 campi do IF Baiano,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/afastamento-pos-graduacao-TAE.webp
Reitoria,IF Baiano abre consulta sobre regulamentos de TCC e de Atividades Complementares dos cursos de graduação,https://ifbaiano.edu.br/portal/blog/if-baiano-abre-consulta-sobre-regulamentos-de-tcc-e-de-atividades-complementares-dos-cursos-de-graduacao/,2026-07-21,12:14,1,Comunidade acadêmica poderá encaminhar contribuições até 20 de agosto por meio de formulários eletrônicos.,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/consulta-publica-regulamento-cursos-graduacao.webp
Reitoria,IF Baiano lança edital de apoio à participação de servidores em eventos científicos,https://ifbaiano.edu.br/portal/blog/if-baiano-lanca-edital-de-apoio-a-participacao-de-servidores-em-eventos-cientificos/,2026-07-21,10:21,2,Recursos financiarão a apresentação de trabalhos científicos em eventos realizados no Brasil e no exterior,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/Recursos-financiarao-a-apresentacao-de-trabalhos-cientificos-em-eventos-realizados-no-Brasil-e-no-exterior.jpeg
Reitoria,IF Baiano recebe inscrições para eleição de membros do Comitê Gestor do Sistema de Bibliotecas,https://ifbaiano.edu.br/portal/blog/if-baiano-recebe-inscricoes-para-eleicao-de-membros-do-comite-gestor-do-sistema-de-bibliotecas/,2026-07-21,09:22,1,"O prazo para candidaturas vai até 28 de julho; a seleção visa preencher sete vagas entre as categorias bibliotecário, docente e discente, para atuação no biênio 2026-2028",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/ESTRUTURA-BIBLIOTECA-IF-BAIANO.jpg
Reitoria,Pós-graduação do IF Baiano em Educação Inclusiva entra na etapa de defesas de TCC,https://ifbaiano.edu.br/portal/blog/pos-graduacao-do-if-baiano-em-educacao-inclusiva-entra-na-etapa-de-defesas-de-tcc/,2026-07-20,12:05,1,"Especialização, ofertada na modalidade de Educação a Distância (EaD), é focada em temas ligados à educação inclusiva e à diversidade nos contextos educacionais.",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/pós-graduacao-ead-UAB-Capes-IF-Baiano.png
Reitoria,IF Baiano abre seleção para 21 vagas remanescentes no Curso Técnico em Agropecuária do Campus Serrinha,https://ifbaiano.edu.br/portal/blog/if-baiano-abre-selecao-para-21-vagas-remanescentes-no-curso-tecnico-em-agropecuaria-do-campus-serrinha/,2026-07-20,11:27,1,"O Instituto Federal Baiano (IF Baiano) está com inscrições abertas para o preenchimento de 21 vagas do Curso Técnico Subsequente em Agropecuária, ofertado pelo Campus Serrinha. O curso é presencial, t...",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/Campus-Serrinha-oferta-vagas-em-Curso-Tecnico-Subsequente-em-Agropecuaria.png
Reitoria,Campus Guanambi oferta vagas para alunos especiais no Mestrado Profissional em Produção Vegetal no Semiárido,https://ifbaiano.edu.br/portal/blog/campus-guanambi-oferta-vagas-para-alunos-especiais-no-mestrado-profissional-em-producao-vegetal-no-semiarido/,2026-07-17,12:06,1,As inscrições para aluno especial do MPPVS vão até o dia 20 de julho; a seleção visa preencher vagas em quatro disciplinas do curso,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/MPPVS-abre-inscricoes-para-aluno-especial.jpeg
Reitoria,IF Baiano abre editais para concessão de auxílios de assistência estudantil em quatro campi,https://ifbaiano.edu.br/portal/blog/if-baiano-abre-editais-para-concessao-de-auxilios-de-assistencia-estudantil-em-quatro-campi/,2026-07-17,11:31,2,"Os campi Alagoinhas, Santa Inês, Serrinha e Teixeira de Freitas ofertam, ao todo, 447 vagas para auxílios como moradia, creche e transporte.",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/estudante-auxilio-estudantil.png
Reitoria,IF Baiano abre seleção para projetos de Iniciação Científica em Ações Afirmativas com bolsas de R$ 700 mensais,https://ifbaiano.edu.br/portal/blog/if-baiano-abre-selecao-para-projetos-de-iniciacao-cientifica-em-acoes-afirmativas-com-bolsas-de-r-700-mensais/,2026-07-17,09:24,1,Até três projetos de pesquisa serão selecionados pela Propes para receber bolsas de Iniciação Científica nas Ações Afirmativas de R$ 700 mensais,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/PIBIC-AF-BANNER-SITE.png
Reitoria,Campus Santa Inês abre processo seletivo para Especialização em EJA articulada à Educação Profissional,https://ifbaiano.edu.br/portal/blog/campus-santa-ines-abre-processo-seletivo-para-especializacao-em-eja-articulada-a-educacao-profissional/,2026-07-14,08:49,1,Especialização em Educação de Jovens e Adultos articulada à Educação Profissional é gratuita e tem início ainda em 2026.,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/9733-Imagem-do-IF-Baiano-Campus-Santa-Ines.webp
Reitoria,Campus Teixeira de Freitas abre 22 vagas para os bacharelados em Engenharia Agronômica e em Engenharia Florestal,https://ifbaiano.edu.br/portal/blog/campus-teixeira-de-freitas-abre-22-vagas-para-os-bacharelados-em-engenharia-agronomica-e-em-engenharia-florestal/,2026-07-13,09:22,2,"Vagas abertas pelo IF Baiano &#8211; Campus Teixeira de Freitas são para transferência interna, externa e portadores de diploma; inscrições até 16 de julho",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/5236-IFBAIANO_CAMPUS_TEIXEIRA_DE_FREITAS.webp
Reitoria,"Campus Bom Jesus da Lapa promove o VII Simpósio de Ensino, Pesquisa e Extensão nos dias 22 e 23 de julho",https://ifbaiano.edu.br/portal/blog/campus-bom-jesus-da-lapa-promove-o-vii-simposio-de-ensino-pesquisa-e-extensao-nos-dias-22-e-23-de-julho/,2026-07-10,10:31,1,O prazo para submissão de trabalhos vai até o dia 12 de julho,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/0184-Siepex-banner.webp
Reitoria,IF Baiano divulga calendário dos principais eventos institucionais de 2026,https://ifbaiano.edu.br/portal/blog/if-baiano-divulga-calendario-dos-principais-eventos-institucionais-de-2026/,2026-07-09,13:57,2,"Confira as datas do CEPEX, JEIF, Encontro dos Servidores e JAIF; concentrados no quarto trimestre de 2026",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/6113-Calendario-de-eventos-2026.webp
Reitoria,Divulgado novo cronograma eleitoral do Consup com prazos de inscrição de candidatos,https://ifbaiano.edu.br/portal/blog/divulgado-novo-cronograma-eleitoral-do-consup-com-prazos-de-inscricao-de-candidatos/,2026-07-08,10:56,2,"Novos editais do processo eleitoral do Consup do IF Baiano trazem os prazos de inscrição para candidatos a representantes das categorias Discente, Docente, TAE, Egressos, CODIR, DCE e Sindical",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/06/7634-Eleicoes-consup-2026.webp
Reitoria,IF Baiano &#8211; Campus Valença abre vagas para o curso técnico subsequente em Meio Ambiente,https://ifbaiano.edu.br/portal/blog/if-baiano-campus-valenca-abre-vagas-para-o-curso-tecnico-subsequente-em-meio-ambiente/,2026-07-06,12:10,1,Campus Valença oferta 30 vagas em curso técnico noturno de Meio Ambiente para quem já concluiu o Ensino Médio; inscrições a partir de 13 de julho.,https://ifbaiano.edu.br/portal/wp-content/uploads/2022/07/Campus-do-IF-Baiano-em-Valenca-BA.jpeg
Reitoria,Institutos Federais poderão inscrever relatos de experiências em edital do Forcampo,https://ifbaiano.edu.br/portal/blog/institutos-federais-poderao-inscrever-relatos-de-experiencias-em-edital-do-forcampo/,2026-07-06,09:24,1,"O Fórum Nacional de Educação do Campo (Forcampo), vinculado ao Conselho Nacional das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica (Conif), lançou o edital para submi...",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/9999-Materia_Edital-Forcampo.webp
Reitoria,Defeso Eleitoral 2026,https://ifbaiano.edu.br/portal/blog/defeso-eleitoral-2026/,2026-07-03,13:38,3,"Comunicação institucional durante o período eleitoral De 4 de julho a 25 de outubro de 2026, a comunicação institucional do Instituto Federal de Educação, Ciência e Tecnologia Baiano (IF Baiano) segui...",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/6656-imagem-destacada-defeso-eleitoral-2026.webp
