campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Senhor do Bonfim,Processo Eleitoral para escolha dos membros do Comitê Gestor do Sistema de Bibliotecas do Instituto Federal Baiano (CGSIB),https://www.ifbaiano.edu.br/unidades/bonfim/2026/07/16/processo-eleitoral-para-escolha-dos-membros-do-comite-gestor-do-sistema-de-bibliotecas-do-instituto-federal-baiano-cgsib/,2026-07-16,22:34,1,"As inscrições serão realizadas de 21 a 28/07/2026 no site de Concursos e Seleções do IF Baiano, no link abaixo:",https://www.ifbaiano.edu.br/unidades/bonfim/files/2026/07/6825-CARD-COMITE-GESTOR.webp
Senhor do Bonfim,Chamada Pública N° 02 &#8211; Residência Estudantil 2026,https://www.ifbaiano.edu.br/unidades/bonfim/2026/07/15/chamada-publica-n-02-residencia-estudantil/,2026-07-15,16:42,1,,
Senhor do Bonfim,Edital PAISE 2026.2,https://www.ifbaiano.edu.br/unidades/bonfim/2026/07/08/edital-paise-2026-2/,2026-07-08,14:41,1,,https://www.ifbaiano.edu.br/unidades/bonfim/files/2026/07/2415-card-paise1.webp
Senhor do Bonfim,EDITAL INTERNO &#8211; PROCESSO SELETIVO PARA PREENCHIMENTO DE VAGA REMANESCENTE DE ESTÁGIO CURRICULAR – CURSO TÉCNICO EM INFORMÁTICA INTEGRADO AO ENSINO MÉDIO,https://www.ifbaiano.edu.br/unidades/bonfim/2026/05/27/edital-interno-processo-seletivo-para-preenchimento-de-vaga-remanescente-de-estagio-curricular-curso-tecnico-em-informatica-integrado-ao-ensino-medio/,2026-05-27,13:33,1,"O DIRETOR-GERAL DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO – Campus Senhor do Bonfim, no uso de suas atribuições legais delegadas pela Portaria nº. 304, de 19/03/2026, publicada no ...",
Senhor do Bonfim,Processo Eleitoral para escolha dos membros do Grêmio Estudantil do IF Baiano &#8211; Campus Senhor do Bonfim,https://www.ifbaiano.edu.br/unidades/bonfim/2026/05/18/processo-eleitoral-para-escolha-dos-membros-do-gremio-estudantil-do-if-baiano-campus-senhor-do-bonfim/,2026-05-18,22:06,1,,
Senhor do Bonfim,Processo Seletivo Simplificado para Contratação de Professor Substituto – Sociologia,https://www.ifbaiano.edu.br/unidades/bonfim/2026/05/18/processo-seletivo-simplificado-para-contratacao-de-professor-substituto-sociologia/,2026-05-18,18:51,1,"O SUBSTITUTO DO REITOR DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO, nouso das suas atribuições delegadas pela Portaria de Pessoal nº 75, de 27/01/2026, publicada no DOU de02/02/2026,...",
Senhor do Bonfim,Processo Seletivo Simplificado para Contratação de Professor Substituto – Pedagogia,https://www.ifbaiano.edu.br/unidades/bonfim/2026/05/18/processo-seletivo-simplificado-para-contratacao-de-professor-substituto-pedagogia/,2026-05-18,18:48,1,"O SUBSTITUTO DO REITOR DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO, nouso das suas atribuições delegadas pela Portaria de Pessoal nº 75, de 27/01/2026, publicada no DOU de02/02/2026,...",
Senhor do Bonfim,Ações do Centro de Línguas &#8211; Campus Senhor do Bonfim,https://www.ifbaiano.edu.br/unidades/bonfim/2026/05/14/acoes-do-centro-de-linguas-campus-senhor-do-bonfim/,2026-05-14,07:03,1,"No dia 06 de maio de 2026, o Centro de Línguas, com as articulações das Professorasde inglês, Cristiane Cruz e Aldenice Cardoso, possibilitaram que19 estudantes participassem na Olimpíada Brasileira d...",https://www.ifbaiano.edu.br/unidades/bonfim/files/2026/05/2901-Conversacao-em-Ingles-2.webp
Senhor do Bonfim,Campus Senhor do Bonfim convida Comunidade Acadêmica para Oficina &#8220;Normas da ABNT na Produção Científica&#8221;,https://www.ifbaiano.edu.br/unidades/bonfim/2026/05/12/campus-senhor-do-bonfim-convida-comunidade-academica-para-oficina-normas-da-abnt-na-producao-cientifica/,2026-05-12,21:41,1,O evento é promovido pelo Colegiado da Licenciatura em Química em parceria com a Biblioteca local e os outros colegiados dos cursos superiores do IF Baiano.,https://www.ifbaiano.edu.br/unidades/bonfim/files/2026/05/2324-Oficina-de-Normas-da-Abnt.webp
Senhor do Bonfim,IF Baiano &#8211; Campus Senhor do Bonfim Comemora Dia do Zootecnista em 13 de Maio. Inscrições no Suap via QR Code,https://www.ifbaiano.edu.br/unidades/bonfim/2026/05/09/if-baiano-campus-senhor-do-bonfim-comemora-dia-do-zootecnista-em-13-de-maio/,2026-05-09,01:34,1,"No próximo dia 13, o IF Baiano – Campus Senhor do Bonfim promoverá uma comemoração em alusão ao Dia do Zootecnista. A programação terá início às 8h, no Auditório do Pavilhão Pedagógico.O evento visa p...",https://www.ifbaiano.edu.br/unidades/bonfim/files/2026/05/0530-INSCRICAO-DO-EVENTO-QR-2.webp
