campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Serrinha,IF Baiano Campus Serrinha publica editais do PAISE 2026 e amplia oportunidades de assistência estudantil,https://www.ifbaiano.edu.br/unidades/serrinha/2026/04/29/programa-de-assistencia-e-inclusao-social-do-estudante-paise-2026/,2026-04-29,13:34,1,"O Instituto Federal Baiano (IF Baiano) – Campus Serrinha informa à comunidade acadêmica a publicação dos editais do Programa de Assistência e Inclusão Social do Estudante (PAISE), fortalecendo as açõe...",
Serrinha,"CHAMADA PÚBLICA Nº 01/2025 &#8211; CHAMADA PÚBLICA PARA ESCOLHA DE ENTIDADES PARA REALIZAR ACORDO DE COOPERAÇÃO TÉCNICA PARA OBTER OFERTA DE CURSOS EAD DO IFBAIANO, SEM REPASSE DE RECURSOS ENTRE OS PARTÍCIPES",https://www.ifbaiano.edu.br/unidades/serrinha/2025/05/05/chamada-publica-no-01-2025-chamada-publica-para-escolha-de-entidades-para-realizar-acordo-de-cooperacao-tecnica-para-obter-oferta-de-cursos-ead-do-ifbaiano-sem-repasse-de-recursos-entre-o/,2025-05-05,11:45,1,"Chamada Pública &#8211; Edital nº 24 de, 06 de maio de 2025",
Serrinha,PROGRAMA DE ASSISTÊNCIA E INCLUSÃO SOCIAL DO ESTUDANTE – PAISE 2025,https://www.ifbaiano.edu.br/unidades/serrinha/2025/04/07/programa-de-assistencia-e-inclusao-social-do-estudante-paise/,2025-04-07,16:22,2,"O(a) estudante não selecionado(a) no resultado parcial, poderá interpor recurso contra o resultadodeste processo seletivo no período de 18 e 19/09/2025. O recurso deverá ser enviado para o emailclae@s...",
Serrinha,PROCESSO DE SELEÇÃO PÚBLICA SIMPLIFICADA PARA PROFESSOR DO CURSO DE SEGUNDA LICENCIATURA EM EDUCAÇÃO ESPECIAL INCLUSIVA DO PARFOR EQUIDADE &#8211; IF BAIANO,https://www.ifbaiano.edu.br/unidades/serrinha/2025/03/31/processo-de-selecao-publica-simplificada-para-professor-do-curso-de-segunda-licenciatura-em-educacao-especial-inclusiva-do-parfor-equidade-if-baiano/,2025-03-31,15:19,1,Resultado Final,
Serrinha,Processo Seletivo para Mestrado Profissional em Ciências Ambientais (MPCA) – Campus Serrinha – Período de inscrição: 09/12/2024 até 31/01/2025.,https://www.ifbaiano.edu.br/unidades/serrinha/2024/12/09/processo-seletivo-para-mestrado-profissional-em-ciencias-ambientais-mpca-campus-serrinha-periodo-de-inscricao-09-12-2024-ate-31-01-2025/,2024-12-09,10:43,1,"A Pró-Reitora de Pesquisa e Inovação do Instituto Federal de Educação, Ciência e Tecnologia Baiano – IF Baiano, Instituição criada pela Lei n°. 11.892, de 29 de dezembro de 2008, publicada no Diário O...",https://www.ifbaiano.edu.br/unidades/serrinha/files/2024/12/ProcessoMestrado.jpg
Serrinha,Processo Seletivo Cursos Ensino Médio/Integrado 2025,https://www.ifbaiano.edu.br/unidades/serrinha/2024/12/05/ingresso-de-estudantes-2025/,2024-12-05,16:33,1,"A DIRETORA-GERAL  DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO – CAMPUS SERRINHA, no uso de suas atribuições legais torna pública a abertura das inscrições do processo seletivo para i...",
Serrinha,Edital PAISE 2024.2,https://www.ifbaiano.edu.br/unidades/serrinha/2024/10/04/edital-paise-2024-2/,2024-10-04,16:30,1,,
Serrinha,EDITAL Nº21 &#8211; PROCESSO SELETIVO PARA CONCESSÃO DE BOLSAS DE MONITORIA 2024,https://www.ifbaiano.edu.br/unidades/serrinha/2024/09/11/edital-no21-processo-seletivo-para-concessao-de-bolsas-de-monitoria-2024/,2024-09-11,10:52,1,,
Serrinha,Segunda Chamada para Matrícula &#8211; Curso de Instrumento Musical,https://www.ifbaiano.edu.br/unidades/serrinha/2024/09/10/segunda-chamada-para-matricula-curso-de-instrumento-musical/,2024-09-10,10:07,1,Foi divulgada a lista de candidatos convocados na 2ª chamada para a matrícula no curso Técnico em Instrumento Musical do PROSEL 2024.2 subsequente.Os convocados deverão comparecer entre os dias 10 e 1...,
Serrinha,EDITAL DE INSCRIÇÃO PARA ADESÃO AO PROGRAMA DE GESTÃO DO TELETRABALHO – REGIME PARCIAL – TAES &#8211; 2024,https://www.ifbaiano.edu.br/unidades/serrinha/2024/09/10/edital-de-inscricao-para-adesao-ao-programa-de-gestao-do-teletrabalho-regime-parcial-taes-2024/,2024-09-10,09:33,1,Legislação,
