campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Valença,Obra de Ionã Scarante é tema de resenha crítica em projeto da UNEB,https://www.ifbaiano.edu.br/unidades/valenca/2026/07/21/obra-de-iona-scarante-e-tema-de-resenha-critica-em-projeto-da-uneb/,2026-07-21,11:43,1,"A obra Pássaro-Nuvem, da poeta e docente do IF Baiano Ionã Scarante, foi tema de uma resenha crítica produzida no âmbito do projeto Simbologia das águas na poética de autoras contemporâneas, coordenad...",
Valença,PROCESSO SELETIVO PARA VAGAS REMANESCENTES DO PROGRAMA DE MONITORIA DE ENSINO 2026,https://www.ifbaiano.edu.br/unidades/valenca/2026/07/20/processo-seletivo-para-vagas-remanescentes-do-programa-de-monitoria-de-ensino-2026/,2026-07-20,20:12,1,,
Valença,Resultado Final de Classificação &#8211; Processo seletivo Monitoria de 2026,https://www.ifbaiano.edu.br/unidades/valenca/2026/07/20/resultado-final-de-classificacao-processo-seletivo-monitoria-de-2026/,2026-07-20,17:44,1,,
Valença,Resultado Preliminar de Classificação da Monitoria de 2026,https://www.ifbaiano.edu.br/unidades/valenca/2026/07/16/resultado-preliminar-de-classificacao-da-monitoria-de-2026/,2026-07-16,15:30,1,,
Valença,Data e o local das entrevistas da monitoria,https://www.ifbaiano.edu.br/unidades/valenca/2026/07/09/data-e-o-local-das-entrevistas-da-monitoria/,2026-07-09,21:51,1,,
Valença,Resultados das inscrições homologadas da monitoria,https://www.ifbaiano.edu.br/unidades/valenca/2026/07/09/resultados-das-inscricoes-homologadas-da-monitoria/,2026-07-09,21:50,1,,
Valença,"Resulto preliminar da Monitoria EDITAL N° 07, DE 11 DE JUNHO DE 2026",https://www.ifbaiano.edu.br/unidades/valenca/2026/07/07/resulto-preliminar-da-monitoria-edital-n-07-de-11-de-junho-de-2026/,2026-07-07,11:00,1,,
Valença,RESULTADO INTERPOSIÇÃO DE RECURSOS DO EDITAL PROSEL SUB n 08/26 VALENÇA,https://www.ifbaiano.edu.br/unidades/valenca/2026/07/07/resultado-interposicao-de-recursos-do-edital-prosel-sub-n-08-26-valenca/,2026-07-07,10:04,1,,
Valença,Chamada Pública 01/2026 PNAE,https://www.ifbaiano.edu.br/unidades/valenca/2026/06/30/chamada-publica-01-2026-pnae/,2026-06-30,11:15,1,,
Valença,Edital de Monitoria,https://www.ifbaiano.edu.br/unidades/valenca/2026/06/11/edital-de-monitoria/,2026-06-11,14:01,1,PROCESSO SELETIVO PARA CONCESSÃO DE BOLSAS DE MONITORIA DE ENSINO DA EDUCAÇÃO PROFISSIONAL TÉCNICA DE NÍVEL MÉDIO E NÍVEL SUPERIOR &#8211; VALENÇA,
Valença,Dia “D” da CPA mobiliza comunidade acadêmica no Campus Valença,https://www.ifbaiano.edu.br/unidades/valenca/2025/11/11/dia-d-da-cpa-mobiliza-comunidade-academica-no-campus-valenca/,2025-11-11,15:49,1,,
