campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Bom Jesus da Lapa,Chamada Pública &#8211; PAA 2026,https://www.ifbaiano.edu.br/unidades/lapa/2026/06/09/chamada-publica-paa-2026/,2026-06-09,10:09,1,,https://www.ifbaiano.edu.br/unidades/lapa/files/2025/10/6713-image.webp
Bom Jesus da Lapa,CHAMADA PÚBLICA &#8211; PNAE 2026,https://www.ifbaiano.edu.br/unidades/lapa/2026/06/09/chamada-publica-pnae-2026/,2026-06-09,10:00,1,,
Bom Jesus da Lapa,Edital nº 31/2026 &#8211; Seleção de Estágio Obrigatório &#8211; GTI,https://www.ifbaiano.edu.br/unidades/lapa/2026/06/03/edital-no-31-2026-selecao-de-estagio-obrigatorio-gti/,2026-06-03,14:05,1,,
Bom Jesus da Lapa,"Concurso da Arte do VII Simpósio de Ensino, Pesquisa e Extensão (SiEPEX)",https://www.ifbaiano.edu.br/unidades/lapa/2026/06/01/concurso-da-arte-do-vii-simposio-de-ensino-pesquisa-e-extensao-siepex/,2026-06-01,15:46,1,,https://www.ifbaiano.edu.br/unidades/lapa/files/2026/06/9592-WhatsApp-Image-2026-06-01-at-15.30.05.webp
Bom Jesus da Lapa,Seleção de Estagiários de níveis médio e superior,https://www.ifbaiano.edu.br/unidades/lapa/2026/05/22/selecao-de-estagiarios-de-niveis-medio-e-superior/,2026-05-22,11:06,1,,https://www.ifbaiano.edu.br/unidades/lapa/files/2026/05/3087-WhatsApp-Image-2026-05-25-at-09.31.20.webp
Bom Jesus da Lapa,IF Baiano Campus Bom Jesus da Lapa sedia o I Seminário Macroterritorial da ADAB sobre fiscalização fitossanitária e agrotóxicos,https://www.ifbaiano.edu.br/unidades/lapa/2026/05/15/if-baiano-campus-bom-jesus-da-lapa-sedia-o-i-seminario-macroterritorial-da-adab-sobre-fiscalizacao-fitossanitaria-e-agrotoxicos/,2026-05-15,16:31,1,"Com o objetivo de debater as diretrizes técnicas e os impactos jurídicos no manejo agrícola da região, foi realizado, nesta sexta-feira (15), o I Seminário Macroterritorial &#8220;Fiscalização Fitossa...",https://www.ifbaiano.edu.br/unidades/lapa/files/2026/05/3375-20260515_090727.webp
Bom Jesus da Lapa,Campus Bom Jesus da Lapa realiza Aula Inaugural do Programa Partiu IF 2026,https://www.ifbaiano.edu.br/unidades/lapa/2026/04/16/campus-bom-jesus-da-lapa-realiza-aula-inaugural-do-programa-partiu-if-2026/,2026-04-16,10:55,1,"O IF Baiano &#8211; Campus Bom Jesus da Lapa realizou, no último dia 15 de abril, a aula inaugural do Programa Partiu IF 2026. A iniciativa, vinculada ao Governo Federal, tem como objetivo central pro...",https://www.ifbaiano.edu.br/unidades/lapa/files/2026/04/6780-NOTICIAS-1.webp
Bom Jesus da Lapa,PROCESSO SELETIVO PARA PARTICIPAÇÃO NO CURSO DE FORMAÇÃO DE PROFISSIONAIS DE APOIO ESCOLAR,https://www.ifbaiano.edu.br/unidades/lapa/2026/03/17/processo-seletivo-para-participacao-no-curso-de-formacao-de-profissionais-de-apoio-escolar/,2026-03-17,10:33,1,,
Bom Jesus da Lapa,Edital n° 20/2026 &#8211; Monitoria Integrado,https://www.ifbaiano.edu.br/unidades/lapa/2026/03/13/edital-n-20-2026-monitoria-integrado/,2026-03-13,16:03,1,,
Bom Jesus da Lapa,Edital nº 17/2026 &#8211; Vagas Ociosas Cursos Subsequentes Presenciais.,https://www.ifbaiano.edu.br/unidades/lapa/2026/03/11/edital-no-17-2026-vagas-ociosas-cursos-subsequentes-presenciais/,2026-03-11,19:24,2,,
Bom Jesus da Lapa,IF Baiano &#8211; Campus Bom Jesus da Lapa promove oficina de elaboração de projetos de extensão para discentes.,https://www.ifbaiano.edu.br/unidades/lapa/2026/03/06/if-baiano-campus-bom-jesus-da-lapa-promove-oficina-de-elaboracao-de-projetos-de-extensao-para-discentes/,2026-03-06,14:30,1,"O Instituto Federal Baiano (IF Baiano) – Campus Bom Jesus da Lapa promoverá, no dia 13 de março de 2026, às 13h30, uma Oficina de Elaboração de Projetos de Extensão.",https://www.ifbaiano.edu.br/unidades/lapa/files/2026/03/8122-WhatsApp-Image-2026-03-06-at-13.00.07.webp
Bom Jesus da Lapa,EDITAL Nº 13/2026 &#8211; Edital de Vagas Ociosas Cursos Superiores,https://www.ifbaiano.edu.br/unidades/lapa/2026/02/23/edital-no-13-2026-edital-de-vagas-remanescentes-cursos-superiores/,2026-02-23,15:45,1,,
Bom Jesus da Lapa,PAISE 2026,https://www.ifbaiano.edu.br/unidades/lapa/2026/02/20/paise-2026/,2026-02-20,10:35,1,,
Bom Jesus da Lapa,Abertas as inscrições para a Seleção Simplificada de Professores(as) do Programa PartiuIF,https://www.ifbaiano.edu.br/unidades/lapa/2026/01/29/abertas-as-inscricoes-para-a-selecao-simplificada-de-professoresas-do-programa-partiuif/,2026-01-29,10:30,1,,https://www.ifbaiano.edu.br/unidades/lapa/files/2026/01/3292-WhatsApp-Image-2026-01-28-at-14.29.59.webp
Bom Jesus da Lapa,SELEÇÃO  PARA  VAGAS NO CURSO DE GRADUAÇÃO BACHARELADO EM ENGENHARIA AGRONÔMICA &#8211; CAMPUS BOM JESUS DALAPA &#8211;  E VAGAS NO CURSO DE TECNOLOGIA DA GESTÃO DATECNOLOGIA DA INFORMAÇÃO,https://www.ifbaiano.edu.br/unidades/lapa/2026/01/15/selecao-de-candidatosas-para-preenchimento-de-vagas-no-curso-degraduacao-bacharelado-em-engenharia-agronomica-campus-bom-jesus-dalapa-periodo-letivo-2025-2-e-vagas-no-curso-de-tecnologia-da-gest/,2026-01-15,13:07,1,,https://www.ifbaiano.edu.br/unidades/lapa/files/2026/01/3070-Copia-de-Copia-de-Cataz-A3Panfleto-Editavel-Superior-Prosel-2026-1.webp
Bom Jesus da Lapa,Campus Bom Jesus da Lapa Finaliza Curso de Operadora de Computador do Programa Mulheres Mil,https://www.ifbaiano.edu.br/unidades/lapa/2025/12/10/if-baiano-campus-bom-jesus-da-lapa-finaliza-curso-de-operadora-de-computador-do-programa-mulheres-mil/,2025-12-10,11:13,1,"O Instituto Federal Baiano (IF Baiano) Campus Bom Jesus da Lapa realizou ontem, 09 de dezembro, a cerimônia de finalização do curso de Operadora de Computador, uma iniciativa fundamental do Programa M...",https://www.ifbaiano.edu.br/unidades/lapa/files/2025/12/5951-IMG_8270.webp
Bom Jesus da Lapa,Roda de Conversa Discute Protagonismo Feminino e o Poder da Palavra,https://www.ifbaiano.edu.br/unidades/lapa/2025/11/26/roda-de-conversa-discute-protagonismo-feminino-e-o-poder-da-palavra/,2025-11-26,15:41,1,Evento no IF Baiano &#8211; Campus Bom Jesus da Lapa reuniu alunas do Programa Mulheres Mil e lideranças locais para debater a importância da comunicação e do empoderamento feminino.,https://www.ifbaiano.edu.br/unidades/lapa/files/2025/11/2478-WhatsApp-Image-2025-11-26-at-10.41.10.webp
Bom Jesus da Lapa,IF Baiano – Campus Bom Jesus da Lapa publica edital para contratação de professor(a) substituto(a) em Letras Português/Inglês,https://www.ifbaiano.edu.br/unidades/lapa/2025/11/26/if-baiano-campus-bom-jesus-da-lapa-publica-edital-para-contratacao-de-professora-substitutoa-em-letras-portugues-ingles/,2025-11-26,13:49,1,,https://www.ifbaiano.edu.br/unidades/lapa/files/2025/11/4154-img-edital-242-25-substituto-port.webp
Bom Jesus da Lapa,Chamada Pública PAA,https://www.ifbaiano.edu.br/unidades/lapa/2025/10/30/chamada-publica-paa-6/,2025-10-30,15:32,1,,https://www.ifbaiano.edu.br/unidades/lapa/files/2025/10/6713-image.webp
Bom Jesus da Lapa,Aula Inaugural Marca Início do Curso de Operadora de Computador no IF Baiano &#8211; Campus Bom Jesus da Lapa,https://www.ifbaiano.edu.br/unidades/lapa/2025/10/08/aula-inaugural-marca-inicio-do-curso-de-operadora-de-computador-no-if-baiano-campus-bom-jesus-da-lapa/,2025-10-08,18:07,1,,https://www.ifbaiano.edu.br/unidades/lapa/files/2025/10/7396-WhatsApp-Image-2025-10-08-at-07.47.12-1-e1759957607886.webp
Bom Jesus da Lapa,Editais de Licitação 2025,https://www.ifbaiano.edu.br/unidades/lapa/2025/09/02/editais-de-licitacao-2025/,2025-09-02,15:21,1,"EDITAL PE nº 90009/2025 &#8211; CONTRATAÇÃO DE SERVIÇOS DE MAO DE OBRA TERCEIRIZADA PARA O IF BAIANO &#8211; CAMPUS BOM JESUS DA LAPA (CAMPO, MOTORISTA E APOIO PEDAGÓGICO)",
Bom Jesus da Lapa,IF Baiano oferta 120 vagas para cursos técnicos integrados no Campus Bom Jesus da Lapa,https://www.ifbaiano.edu.br/unidades/lapa/2025/09/01/if-baiano-oferta-120-vagas-para-cursos-tecnicos-integrados-no-campus-bom-jesus-da-lapa/,2025-09-01,11:54,1,"Os cursos técnicos são em Agricultura, Agroecologia e Informática",https://www.ifbaiano.edu.br/unidades/lapa/files/2025/09/6797-1.webp
Bom Jesus da Lapa,"Agroecologia em prática: Alunos do IF Baiano Campus de Bom Jesus da Lapa visitam Fazenda Ouro Fino, modelo de Agricultura Sintrópica na Bahia",https://www.ifbaiano.edu.br/unidades/lapa/2025/08/01/agroecologia-em-pratica-alunos-do-if-baiano-campus-de-bom-jesus-da-lapa-visitam-fazenda-ouro-fino-modelo-de-agricultura-sintropica-na-bahia/,2025-08-01,14:47,1,"Entre os dias 7 e 9 de julho de 2025, alunos do curso técnico em Agroecologia (modalidade integrada) do IF Baiano realizaram uma visita técnica à Fazenda Ouro Fino, reconhecida nacionalmente por seu t...",https://www.ifbaiano.edu.br/unidades/lapa/files/2025/08/0258-WhatsApp-Image-2025-07-20-at-18.36.54.webp
