campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Governador Mangabeira,IF Baiano – Campus Governador Mangabeira disponibiliza Guia &#8220;Trilha do Autocuidado: Florescer Interior&#8221; para promoção da saúde mental,https://www.ifbaiano.edu.br/unidades/gmb/2026/07/17/if-baiano-campus-governador-mangabeira-disponibiliza-guia-trilha-do-autocuidado-florescer-interior-para-promocao-da-saude-mental/,2026-07-17,09:44,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2026/07/2170-guia_banner.webp
Governador Mangabeira,Inscrições abertas para o 7º Festival de Arte e Música do IF Baiano – FAMIF BAIANO 2026,https://www.ifbaiano.edu.br/unidades/gmb/2026/07/07/inscricoes-abertas-para-o-7o-festival-de-arte-e-musica-do-if-baiano-famif-baiano-2026/,2026-07-07,08:38,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2026/07/4016-card-famif-2026-inscricoes-abertas.webp
Governador Mangabeira,IF Baiano Campus Governador Mangabeira publica edital para eleição da Coordenação Colegiada do GENI (2026-2028),https://www.ifbaiano.edu.br/unidades/gmb/2026/06/03/if-baiano-campus-governador-mangabeira-publica-edital-para-eleicao-da-coordenacao-colegiada-do-geni-2026-2028/,2026-06-03,15:08,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2026/06/8077-ChatGPT-Image-3-de-jun.-de-2026-14_28_57.webp
Governador Mangabeira,IF Baiano Campus Governador Mangabeira publica Edital do PAISE 2026,https://www.ifbaiano.edu.br/unidades/gmb/2026/05/29/if-baiano-campus-governador-mangabeira-publica-edital-do-paise-2026/,2026-05-29,13:48,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2026/05/3164-ChatGPT-Image-29-de-mai.-de-2026-13_44_43.webp
Governador Mangabeira,Boletin Interno &#8211; Campus Governador Mangabeira,https://www.ifbaiano.edu.br/unidades/gmb/2026/04/26/11179/,2026-04-26,15:11,2,Boletim de Serviço Interno – BSI,
Governador Mangabeira,IF Baiano – Campus Governador Mangabeira empossa nova Diretora-Geral para o período 2026–2030,https://www.ifbaiano.edu.br/unidades/gmb/2026/03/24/if-baiano-campus-governador-mangabeira-empossa-nova-diretora-geral-para-o-periodo-2026-2030/,2026-03-24,10:57,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2026/03/0411-posse-1.webp
Governador Mangabeira,"📢 Atenção, pais, mães e responsáveis dos(as) estudantes ingressantes 2026!",https://www.ifbaiano.edu.br/unidades/gmb/2026/03/06/%f0%9f%93%a2-atencao-pais-maes-e-responsaveis-dosas-estudantes-ingressantes-2026/,2026-03-06,10:19,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/09/1722-Banner-PROSEL-ingresso-de-estudantes-2026-1.webp
Governador Mangabeira,IF Baiano prorroga inscrições da seleção simplificada para estudantes do PartiuIF até 06 de março,https://www.ifbaiano.edu.br/unidades/gmb/2026/02/26/if-baiano-prorroga-inscricoes-da-selecao-simplificada-para-estudantes-do-partiuif-ate-06-de-marco/,2026-02-26,19:11,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2026/02/3769-WhatsApp-Image-2026-02-26-at-18.57.26.webp
Governador Mangabeira,SELEÇÃO DE BOLSISTAS DE EXTENSÃO   ENSINO MÉDIO TÉCNICO (ADC),https://www.ifbaiano.edu.br/unidades/gmb/2026/02/26/selecao-de-bolsistas-de-extensao-ensino-medio-tecnico-adc/,2026-02-26,10:51,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2026/02/3643-BANNER-Edital-Ifbaiano-Adc-Pas-Reconcavo-25022026.webp
Governador Mangabeira,IF Baiano realiza Chamada Pública para aquisição de gêneros alimentícios da agricultura familiar,https://www.ifbaiano.edu.br/unidades/gmb/2025/10/14/if-baiano-realiza-chamada-publica-para-aquisicao-de-generos-alimenticios-da-agricultura-familiar/,2025-10-14,15:31,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/10/2647-chamada-publica.webp
Governador Mangabeira,IF Baiano – Campus Governador Mangabeira publica Edital de Estágio Curricular Obrigatório,https://www.ifbaiano.edu.br/unidades/gmb/2025/09/17/if-baiano-campus-governador-mangabeira-publica-edital-de-estagio-curricular-obrigatorio/,2025-09-17,11:03,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/09/4407-Banner-edital-de-estagio-9.webp
Governador Mangabeira,IF Baiano – Campus Governador Mangabeira lança edital para seleção de estagiários,https://www.ifbaiano.edu.br/unidades/gmb/2025/09/10/if-baiano-campus-governador-mangabeira-lanca-edital-para-selecao-de-estagiarios/,2025-09-10,16:38,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/09/2859-Banner-edital-de-estagio.webp
Governador Mangabeira,IF Baiano oferta 800 vagas para cursos técnicos no Campus Governador Mangabeira,https://www.ifbaiano.edu.br/unidades/gmb/2025/09/02/if-baiano-oferta-800-vagas-para-cursos-tecnicos-no-campus-governador-mangabeira/,2025-09-02,08:17,2,"Os cursos técnicos são integrados ao Ensino Médio, subsequentes presenciais e subsequentes EaD",https://www.ifbaiano.edu.br/unidades/gmb/files/2025/09/1722-Banner-PROSEL-ingresso-de-estudantes-2026-1.webp
Governador Mangabeira,Egresso do IF Baiano – Campus Governador Mangabeira participa de formação no Congresso Nacional,https://www.ifbaiano.edu.br/unidades/gmb/2025/07/23/egresso-do-if-baiano-campus-governador-mangabeira-participa-de-formacao-no-congresso-nacional/,2025-07-23,11:50,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/07/1918-card-Matheus.webp
Governador Mangabeira,RESULTADO PRELIMINAR DAS PROPOSTAS SUBMETIDAS – CURSO FIC 2025.2,https://www.ifbaiano.edu.br/unidades/gmb/2025/07/22/campus-governador-mangabeira-lanca-edital-para-selecao-de-propostas-de-cursos-de-formacao-continuada/,2025-07-22,15:16,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/07/7929-card-edital-fic-2025.webp
Governador Mangabeira,Julho das Pretas no IF Baiano – Campus Governador Mangabeira,https://www.ifbaiano.edu.br/unidades/gmb/2025/07/15/julho-das-pretas-no-if-baiano-campus-governador-mangabeira/,2025-07-15,13:29,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/07/6693-julho-das-pretas_card.webp
Governador Mangabeira,EDITAL &#8211; PROCESSO ELEITORAL PARA ESCOLHA DE GRUPO GESTOR DO NEABI,https://www.ifbaiano.edu.br/unidades/gmb/2025/06/12/edital-processo-eleitoral-para-escolha-de-grupo-gestor-do-neabi/,2025-06-12,16:02,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/06/4236-card-NEABI.webp
Governador Mangabeira,Estudo de Demanda IF Baiano 2024/2025 – Comunidade Externa,https://www.ifbaiano.edu.br/unidades/gmb/2025/06/02/estudo-de-demanda-if-baiano-2024-2025-comunidade-externa/,2025-06-02,16:45,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/06/3220-card_estudo-de-demanda.webp
Governador Mangabeira,Fórum de Planejamento e Avaliação Estratégica 2025 – Fase 2,https://www.ifbaiano.edu.br/unidades/gmb/2025/05/27/forum-de-planejamento-e-avaliacao-estrategica-2025-fase-2/,2025-05-27,14:10,1,,https://www.ifbaiano.edu.br/unidades/gmb/files/2025/05/5409-Forum-de-planejamento-e-avaliacao-estrategica.webp
