campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Itapetinga,Processo Seletivo de Estudantes para Vagas Remanescentes dos Cursos de graduação,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/07/20/processo-seletivo-de-estudantes-para-vagas-remanescentes-dos-cursos-de-graduacao/,2026-07-20,20:14,1,"O Instituto Federal Baiano (IF Baiano), campus Itapetinga, publicou o Edital nº 09, de 20 de julho de 2026, que regulamenta a Seleção Simplificada para o preenchimento de vagas remanescentes nos curso...",
Itapetinga,Manual de Procedimento Simplificado de Apuração e Regularização Patrimonial,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/07/16/manual-de-procedimento-simplificado-de-apuracao-e-regularizacao-patrimonial/,2026-07-16,10:34,1,"Em atendimento as normativas vigentes e a recomendação da Pró-Reitoria de Administração e Planejamento – PROPLAN, divulgamos o Manual de Procedimento Simplificado de Apuração e Regularização Patrimoni...",
Itapetinga,"Reunião do Comitê da Biosfera da Caatinga e Mesa Temática: Biodiversidade, Potencial Produtivo e Vulnerabilidade no entorno do Ecótono Caatinga e Mata Atlântica",https://www.ifbaiano.edu.br/unidades/itapetinga/2026/06/29/reuniao-do-comite-da-biosfera-da-caatinga-e-mesa-tematica-biodiversidade-potencial-produtivo-e-vulnerabilidade-no-entorno-do-ecotono-caatinga-e-mata-atlantica/,2026-06-29,13:48,1,,https://www.ifbaiano.edu.br/unidades/itapetinga/files/2026/06/9936-Evento-thumb.webp
Itapetinga,Resultado Final da Seleção de Estagiários do Edital N.º09 de 14 de Maio de 2026,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/06/19/resultado-final-da-selecao-de-estagiarios-do-edital-n-o09-de-14-de-maio-de-2026/,2026-06-19,17:17,1,"A Comissão responsável pela realização de Processos Seletivos Simplificados para a contratação de estagiários (as), no âmbito do Instituto Federal Baiano &#8211; Campus Itapetinga, constituída pela Po...",https://www.ifbaiano.edu.br/unidades/itapetinga/files/2026/05/5195-SELECAO-DE-ESTAGVIARIOS-1.webp
Itapetinga,Segunda Retificação do Cronograma da Seleção de Estagiários do Edital N.º09 de 14 de Maio de 2026,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/06/19/segunda-retificacao-do-cronograma-da-selecao-de-estagiarios-do-edital-n-o09-de-14-de-maio-de-2026/,2026-06-19,11:22,1,"A Comissão responsável pela realização de Processos Seletivos Simplificados para a contratação de estagiários (as), no âmbito do Instituto Federal Baiano &#8211; Campus Itapetinga, constituída pela Po...",
Itapetinga,Resultado da Interposição de Recurso ao Resultado Preliminar da Banca de Heteroidentificação da Seleção de Estagiários do Edital N.º09 de 14 de Maio de 2026,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/06/19/resultado-da-interposicao-de-recurso-ao-resultado-preliminar-da-banca-de-heteroidentificacao-da-selecao-de-estagiarios-do-edital-n-o09-de-14-de-maio-de-2026/,2026-06-19,10:38,1,"A Comissão responsável pela realização de Processos Seletivos Simplificados para a contratação de estagiários (as), no âmbito do Instituto Federal Baiano &#8211; Campus Itapetinga, constituída pela Po...",
Itapetinga,Resultado Preliminar da Banca de Heteroidentificação da Seleção de Estagiários do Edital N.º09 de 14 de Maio de 2026,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/06/16/resultado-preliminar-da-banca-de-heteroidentificacao-da-selecao-de-estagiarios-do-edital-n-o09-de-14-de-maio-de-2026/,2026-06-16,09:15,1,"A Comissão responsável pela realização de Processos Seletivos Simplificados para a contratação de estagiários (as), no âmbito do Instituto Federal Baiano &#8211; Campus Itapetinga, constituída pela Po...",https://www.ifbaiano.edu.br/unidades/itapetinga/files/2026/05/5195-SELECAO-DE-ESTAGVIARIOS-1.webp
Itapetinga,Retificação do Edital de convocação para a Banca de Heteroidentificação da Seleção de Estagiários do Edital N.º09 de 14 de Maio de 2026,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/06/11/edital-de-convocacao-para-a-banca-de-heteroidentificacao-da-selecao-de-estagiarios-do-edital-n-o09-de-14-de-maio-de-2026/,2026-06-11,15:28,1,"Os(as) candidatos(as) abaixo relacionados(as) deverão comparecer presencialmente ao Instituto Federal de Educação, Ciência e Tecnologia &#8211; IF Baiano, Campus Itapetinga, no dia e horário indicados...",
Itapetinga,Resultado da Interposição de Recursos e Resultado Final das Entrevistas e Análise Curricular da Seleção de Estagiários do Edital N.º09 de 14 de Maio de 2026,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/06/10/resultado-final-das-entrevistas-e-analise-curricular-da-selecao-de-estagiarios-do-edital-n-o09-de-14-de-maio-de-2026/,2026-06-10,16:20,1,"A Comissão responsável pela realização de Processos Seletivos Simplificados para a contratação de estagiários (as), no âmbito do Instituto Federal Baiano – Campus Itapetinga, constituída pela Portaria...",https://www.ifbaiano.edu.br/unidades/itapetinga/files/2026/05/5195-SELECAO-DE-ESTAGVIARIOS-1.webp
Itapetinga,Resultado Preliminar das Entrevistas e Análise Curricular da Seleção de Estagiários do Edital N.º09 de 14 de Maio de 2026,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/06/08/resultado-preliminar-das-entrevistas-e-analise-curricular-da-selecao-de-estagiarios-do-edital-n-o09-de-14-de-maio-de-2026/,2026-06-08,17:05,1,"A Comissão responsável pela realização de Processos Seletivos Simplificados para a contratação de estagiários (as), no âmbito do Instituto Federal Baiano &#8211; Campus Itapetinga, constituída pela Po...",https://www.ifbaiano.edu.br/unidades/itapetinga/files/2026/05/5195-SELECAO-DE-ESTAGVIARIOS-1.webp
Itapetinga,Processo Seletivo para Contratação de Estagiários: Retificação do Cronograma,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/06/08/processo-seletivo-para-contratacao-de-estagiarios-retificacao-do-cronograma/,2026-06-08,12:51,1,"O Instituto Federal Baiano, Campus Itapetinga, publicou a retificação do cronograma do Processo Seletivo Simplificado para formação de cadastro de reserva de estagiários(as), regido pelo Edital nº 09,...",
Itapetinga,Seleção de Estagiários: Convocação para Entrevistas,https://www.ifbaiano.edu.br/unidades/itapetinga/2026/05/29/selecao-de-estagiarios-convocacao-para-entrevistas/,2026-05-29,15:43,1,"O Instituto Federal Baiano, Campus Itapetinga, divulgou a convocação dos(as) candidatos(as) habilitados(as) para a etapa de entrevista e análise curricular do Processo Seletivo Simplificado para forma...",
