campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Uruçuca,Processo eleitoral para escolha dos membros do Comitê Gestor do Sistema de Bibliotecas do Instituto Federal Baiano (CGSIB),https://www.ifbaiano.edu.br/unidades/urucuca/2026/07/20/14546/,2026-07-20,16:20,1,"A REITORA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO, no uso de suas atribuições delegadas pelo Decreto de 20/05/2026, publicado no DOU de 21/05/2026, Seção 2, página 1, e de acordo...",https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/07/5229-ChatGPT-Image-17-de-jul.-de-2026-15_52_25-1.webp
Uruçuca,Atividades Curriculares da Cultura Corporal &#8211; ACCCs,https://www.ifbaiano.edu.br/unidades/urucuca/2026/07/16/atividades-curriculares-da-cultura-corporal-acccs/,2026-07-16,15:38,1,As inscrições para as Atividades Curriculares da Cultura Corporal (ACCCs) do IF Baiano – Campus Uruçuca começam nesta terça-feira (15/07)! Prepare-se!,https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/07/7102-WhatsApp-Image-2026-07-16-at-15.29.47.webp
Uruçuca,NAPNE promove conscientização sobre o TDAH e reforça a importância da inclusão educacional,https://www.ifbaiano.edu.br/unidades/urucuca/2026/07/09/napne-promove-conscientizacao-sobre-o-tdah-e-reforca-a-importancia-da-inclusao-educacional/,2026-07-09,13:15,1,"Durante o mês de julho, a campanha Julho Laranja promove a conscientização sobre o Transtorno do Déficit de Atenção e Hiperatividade (TDAH), um transtorno do neurodesenvolvimento caracterizado por pad...",
Uruçuca,Chamamento Público Nº 01/2026,https://www.ifbaiano.edu.br/unidades/urucuca/2026/07/06/chamamento-publico-no-01-2026/,2026-07-06,15:54,1,APRESENTAÇÃO,https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/07/7603-Edital-publicado.webp
Uruçuca,"Dia Internacional da Pessoa Surdocega: projeto fortalece comunicação, autonomia e inclusão",https://www.ifbaiano.edu.br/unidades/urucuca/2026/06/30/dia-internacional-da-pessoa-surdocega-projeto-fortalece-comunicacao-autonomia-e-inclusao/,2026-06-30,15:56,1,"No dia 27 de junho é celebrado o Dia Internacional da Pessoa Surdocega, uma data dedicada à conscientização e à visibilidade das pessoas com surdocegueira, condição que combina perdas auditivas e visu...",
Uruçuca,VII Seminário de Sustentabilidade Ambiental promove reflexões sobre os desafios da gestão de resíduos sólidos,https://www.ifbaiano.edu.br/unidades/urucuca/2026/06/19/vii-seminario-de-sustentabilidade-ambiental-promove-reflexoes-sobre-os-desafios-da-gestao-de-residuos-solidos/,2026-06-19,16:51,1,"O IF Baiano – Campus Uruçuca realizou, no dia 2 de junho, o VII Seminário de Sustentabilidade Ambiental, reunindo estudantes, servidores, especialistas convidados e comunidade externa para um dia de a...",https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/06/8609-8.webp
Uruçuca,Luar Nordestino e IF Forró celebram a cultura popular no IF Baiano Campus Uruçuca,https://www.ifbaiano.edu.br/unidades/urucuca/2026/06/19/luar-nordestino-e-if-forro-celebram-a-cultura-popular-no-if-baiano-campus-urucuca/,2026-06-19,14:50,1,"O clima junino tomou conta do IF Baiano – Campus Uruçuca durante a realização do Luar Nordestino e IF Forró, evento que reuniu estudantes, servidores e comunidade acadêmica em uma noite marcada pela v...",https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/06/9308-64.webp
Uruçuca,Processo Seletivo Simplificado para Contratação de Professor Substituto &#8211; Atendimento Educacional Especializado &#8211; AEE,https://www.ifbaiano.edu.br/unidades/urucuca/2026/06/02/processo-seletivo-simplificado-para-contratacao-de-professor-substituto-atendimento-educacional-especializado-aee/,2026-06-02,10:49,1,"O SUBSTITUTO DO REITOR DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO, no uso das suas atribuições delegadas pela Portaria de Pessoal nº 75, de 27/01/2026, publicada no DOU de 02/02/202...",
Uruçuca,"Edital n° 8 &#8211; Programa de Incentivo à Cultura, Esporte e Lazer",https://www.ifbaiano.edu.br/unidades/urucuca/2026/05/15/edital-n-8-programa-de-incentivo-a-cultura-esporte-e-lazer/,2026-05-15,13:32,1,"Programa de Incentivo à Cultura, Esporte e Lazer – PINCEL visa propiciar aos(às) estudantes a participação em atividades artísticas culturais, esportivas e de lazer, com vistas à melhoria do desempenh...",
Uruçuca,Maio – Mês da Conscientização sobre Acessibilidade,https://www.ifbaiano.edu.br/unidades/urucuca/2026/05/13/maio-mes-da-conscientizacao-sobre-acessibilidade/,2026-05-13,15:46,1,"O mês de maio é um importante período para refletirmos sobre a acessibilidade e a construção de uma sociedade mais inclusiva, especialmente com a celebração do Dia Mundial da Conscientização sobre Ace...",https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/05/8988-img20191122161240965-768x512-1.webp
Uruçuca,​​​​​​​PROGRAMA DE INCENTIVO À PARTICIPAÇÃO POLÍTICO-ACADÊMICA – PROPAC,https://www.ifbaiano.edu.br/unidades/urucuca/2026/04/27/edital-no-07-de-24-de-abril-de-2026/,2026-04-27,09:10,1,​​​​​​​PROGRAMA DE INCENTIVO À PARTICIPAÇÃO POLÍTICO-ACADÊMICA – PROPAC,https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/05/1195-Programas-CAE-2024.webp
Uruçuca,"24 de abril – Dia da Lei de Libras: reconhecimento, identidade e inclusão",https://www.ifbaiano.edu.br/unidades/urucuca/2026/04/24/24-de-abril-dia-da-lei-de-libras-reconhecimento-identidade-e-inclusao/,2026-04-24,15:40,1,"No dia 24 de abril, celebramos um importante marco na história da inclusão no Brasil: a oficialização da Língua Brasileira de Sinais — Libras, por meio da Lei nº 10.436, sancionada em 2002. A legislaç...",https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/04/5867-WhatsApp-Image-2026-04-24-at-12.01.11.webp
Uruçuca,Conhecer para incluir: Autismo,https://www.ifbaiano.edu.br/unidades/urucuca/2026/04/02/conhecer-para-incluir-autismo/,2026-04-02,10:04,1,"O autismo, ou Transtorno do Espectro Autista (TEA), é uma condição do neurodesenvolvimento que afeta principalmente a comunicação, a interação social e o comportamento. Cada pessoa autista é única, co...",https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/04/5761-autismo.webp
Uruçuca,Edital 5/2026 – Programa de Assistência e Inclusão Social do Estudante – PAISE,https://www.ifbaiano.edu.br/unidades/urucuca/2026/02/27/edital-5-2026-programa-de-assistencia-e-inclusao-social-do-estudante-paise/,2026-02-27,08:49,1,"O Diretor Geral do Instituto Federal de Educação, Ciência e Tecnologia Baiano – IF Baiano, Campus Uruçuca, no uso de suas atribuições legais na forma do que dispõe a Lei nº. 11.892/2008, considerandoa...",https://www.ifbaiano.edu.br/unidades/urucuca/files/2026/02/3254-PAISE-2025.webp
